Year,Date,,Schl,Rk.,,Opp,Rk.,Outcome,,PTS,OPP,MOV,,OT
2017-18,2018-03-22,,Michigan,7,,Texas A&M,,W,,99,72,27,,
2017-18,2018-03-22,,Texas A&M,,,Michigan,7,L,,72,99,-27,,
2017-18,2018-03-22,,Loyola (IL),,,Nevada,24,W,,69,68,1,,
2017-18,2018-03-22,,Nevada,24,,Loyola (IL),,L,,68,69,-1,,
2017-18,2018-03-22,,Kansas State,,,Kentucky,18,W,,61,58,3,,
2017-18,2018-03-22,,Kentucky,18,,Kansas State,,L,,58,61,-3,,
2017-18,2018-03-22,,Florida State,,,Gonzaga,8,W,,75,60,15,,
2017-18,2018-03-22,,Gonzaga,8,,Florida State,,L,,60,75,-15,,
2017-18,2018-03-18,,Butler,,,Purdue,11,L,,73,76,-3,,
2017-18,2018-03-18,,Purdue,11,,Butler,,W,,76,73,3,,
2017-18,2018-03-18,,Michigan State,5,,Syracuse,,L,,53,55,-2,,
2017-18,2018-03-18,,Syracuse,,,Michigan State,5,W,,55,53,2,,
2017-18,2018-03-18,,North Carolina,10,,Texas A&M,,L,,65,86,-21,,
2017-18,2018-03-18,,Texas A&M,,,North Carolina,10,W,,86,65,21,,
2017-18,2018-03-18,,Cincinnati,6,,Nevada,24,L,,73,75,-2,,
2017-18,2018-03-18,,Nevada,24,,Cincinnati,6,W,,75,73,2,,
2017-18,2018-03-18,,Auburn,19,,Clemson,20,L,,53,84,-31,,
2017-18,2018-03-18,,Clemson,20,,Auburn,19,W,,84,53,31,,
2017-18,2018-03-18,,Kansas State,,,Maryland-Baltimore County,,W,,50,43,7,,
2017-18,2018-03-18,,Maryland-Baltimore County,,,Kansas State,,L,,43,50,-7,,
2017-18,2018-03-18,,Florida State,,,Xavier,3,W,,75,70,5,,
2017-18,2018-03-18,,Xavier,3,,Florida State,,L,,70,75,-5,,
2017-18,2018-03-18,,Marshall,,,West Virginia,15,L,,71,94,-23,,
2017-18,2018-03-18,,West Virginia,15,,Marshall,,W,,94,71,23,,
2017-18,2018-03-17,,Alabama,,,Villanova,2,L,,58,81,-23,,
2017-18,2018-03-17,,Villanova,2,,Alabama,,W,,81,58,23,,
2017-18,2018-03-17,,Duke,9,,Rhode Island,,W,,87,62,25,,
2017-18,2018-03-17,,Rhode Island,,,Duke,9,L,,62,87,-25,,
2017-18,2018-03-17,,Buffalo,,,Kentucky,18,L,,75,95,-20,,
2017-18,2018-03-17,,Kentucky,18,,Buffalo,,W,,95,75,20,,
2017-18,2018-03-17,,Loyola (IL),,,Tennessee,13,W,,63,62,1,,
2017-18,2018-03-17,,Tennessee,13,,Loyola (IL),,L,,62,63,-1,,
2017-18,2018-03-17,,Gonzaga,8,,Ohio State,17,W,,90,84,6,,
2017-18,2018-03-17,,Ohio State,17,,Gonzaga,8,L,,84,90,-6,,
2017-18,2018-03-17,,Kansas,4,,Seton Hall,,W,,83,79,4,,
2017-18,2018-03-17,,Seton Hall,,,Kansas,4,L,,79,83,-4,,
2017-18,2018-03-17,,Florida,23,,Texas Tech,14,L,,66,69,-3,,
2017-18,2018-03-17,,Texas Tech,14,,Florida,23,W,,69,66,3,,
2017-18,2018-03-17,,Houston,21,,Michigan,7,L,,63,64,-1,,
2017-18,2018-03-17,,Michigan,7,,Houston,21,W,,64,63,1,,
2017-18,2018-03-16,,Cal State Fullerton,,,Purdue,11,L,,48,74,-26,,
2017-18,2018-03-16,,Purdue,11,,Cal State Fullerton,,W,,74,48,26,,
2017-18,2018-03-16,,Providence,,,Texas A&M,,L,,69,73,-4,,
2017-18,2018-03-16,,Texas A&M,,,Providence,,W,,73,69,4,,
2017-18,2018-03-16,,Marshall,,,Wichita State,16,W,,81,75,6,,
2017-18,2018-03-16,,Wichita State,16,,Marshall,,L,,75,81,-6,,
2017-18,2018-03-16,,Cincinnati,6,,Georgia State,,W,,68,53,15,,
2017-18,2018-03-16,,Georgia State,,,Cincinnati,6,L,,53,68,-15,,
2017-18,2018-03-16,,Lipscomb,,,North Carolina,10,L,,66,84,-18,,
2017-18,2018-03-16,,North Carolina,10,,Lipscomb,,W,,84,66,18,,
2017-18,2018-03-16,,Arkansas,,,Butler,,L,,62,79,-17,,
2017-18,2018-03-16,,Butler,,,Arkansas,,W,,79,62,17,,
2017-18,2018-03-16,,Nevada,24,,Texas,,W,,87,83,4,,1
2017-18,2018-03-16,,Texas,,,Nevada,24,L,,83,87,-4,,1
2017-18,2018-03-16,,Murray State,,,West Virginia,15,L,,68,85,-17,,
2017-18,2018-03-16,,West Virginia,15,,Murray State,,W,,85,68,17,,
2017-18,2018-03-16,,Creighton,,,Kansas State,,L,,59,69,-10,,
2017-18,2018-03-16,,Kansas State,,,Creighton,,W,,69,59,10,,
2017-18,2018-03-16,,Auburn,19,,College of Charleston,,W,,62,58,4,,
2017-18,2018-03-16,,College of Charleston,,,Auburn,19,L,,58,62,-4,,
2017-18,2018-03-16,,Bucknell,,,Michigan State,5,L,,78,82,-4,,
2017-18,2018-03-16,,Michigan State,5,,Bucknell,,W,,82,78,4,,
2017-18,2018-03-16,,Texas Southern,,,Xavier,3,L,,83,102,-19,,
2017-18,2018-03-16,,Xavier,3,,Texas Southern,,W,,102,83,19,,
2017-18,2018-03-16,,Clemson,20,,New Mexico State,,W,,79,68,11,,
2017-18,2018-03-16,,New Mexico State,,,Clemson,20,L,,68,79,-11,,
2017-18,2018-03-16,,Florida State,,,Missouri,,W,,67,54,13,,
2017-18,2018-03-16,,Missouri,,,Florida State,,L,,54,67,-13,,
2017-18,2018-03-16,,Syracuse,,,Texas Christian,,W,,57,52,5,,
2017-18,2018-03-16,,Texas Christian,,,Syracuse,,L,,52,57,-5,,
2017-18,2018-03-16,,Maryland-Baltimore County,,,Virginia,1,W,,74,54,20,,
2017-18,2018-03-16,,Virginia,1,,Maryland-Baltimore County,,L,,54,74,-20,,
2017-18,2018-03-15,,Oklahoma,,,Rhode Island,,L,,78,83,-5,,1
2017-18,2018-03-15,,Rhode Island,,,Oklahoma,,W,,83,78,5,,1
2017-18,2018-03-15,,Tennessee,13,,Wright State,,W,,73,47,26,,
2017-18,2018-03-15,,Wright State,,,Tennessee,13,L,,47,73,-26,,
2017-18,2018-03-15,,Gonzaga,8,,North Carolina-Greensboro,,W,,68,64,4,,
2017-18,2018-03-15,,North Carolina-Greensboro,,,Gonzaga,8,L,,64,68,-4,,
2017-18,2018-03-15,,Duke,9,,Iona,,W,,89,67,22,,
2017-18,2018-03-15,,Iona,,,Duke,9,L,,67,89,-22,,
2017-18,2018-03-15,,Kansas,4,,Pennsylvania,,W,,76,60,16,,
2017-18,2018-03-15,,Pennsylvania,,,Kansas,4,L,,60,76,-16,,
2017-18,2018-03-15,,Loyola (IL),,,Miami (FL),22,W,,64,62,2,,
2017-18,2018-03-15,,Miami (FL),22,,Loyola (IL),,L,,62,64,-2,,
2017-18,2018-03-15,,Ohio State,17,,South Dakota State,,W,,81,73,8,,
2017-18,2018-03-15,,South Dakota State,,,Ohio State,17,L,,73,81,-8,,
2017-18,2018-03-15,,North Carolina State,,,Seton Hall,,L,,83,94,-11,,
2017-18,2018-03-15,,Seton Hall,,,North Carolina State,,W,,94,83,11,,
2017-18,2018-03-15,,Radford,,,Villanova,2,L,,61,87,-26,,
2017-18,2018-03-15,,Villanova,2,,Radford,,W,,87,61,26,,
2017-18,2018-03-15,,Houston,21,,San Diego State,,W,,67,65,2,,
2017-18,2018-03-15,,San Diego State,,,Houston,21,L,,65,67,-2,,
2017-18,2018-03-15,,Davidson,,,Kentucky,18,L,,73,78,-5,,
2017-18,2018-03-15,,Kentucky,18,,Davidson,,W,,78,73,5,,
2017-18,2018-03-15,,Stephen F. Austin,,,Texas Tech,14,L,,60,70,-10,,
2017-18,2018-03-15,,Texas Tech,14,,Stephen F. Austin,,W,,70,60,10,,
2017-18,2018-03-15,,Arizona,12,,Buffalo,,L,,68,89,-21,,
2017-18,2018-03-15,,Buffalo,,,Arizona,12,W,,89,68,21,,
2017-18,2018-03-15,,Florida,23,,St. Bonaventure,,W,,77,62,15,,
2017-18,2018-03-15,,St. Bonaventure,,,Florida,23,L,,62,77,-15,,
2017-18,2018-03-15,,Michigan,7,,Montana,,W,,61,47,14,,
2017-18,2018-03-15,,Montana,,,Michigan,7,L,,47,61,-14,,
2017-18,2018-03-15,,Alabama,,,Virginia Tech,,W,,86,83,3,,
2017-18,2018-03-15,,Virginia Tech,,,Alabama,,L,,83,86,-3,,
2017-18,2018-03-14,,North Carolina Central,,,Texas Southern,,L,,46,64,-18,,
2017-18,2018-03-14,,Texas Southern,,,North Carolina Central,,W,,64,46,18,,
